  N ,   Z ,  El , Mass_Excess  ,     Atomic Mass
 33 ,  30 ,  Zn ,  -62213.4    ,  62.9332117
 32 ,  31 ,  Ga ,  -56547.1    ,  62.9392944
 31 ,  32 ,  Ge ,  -46920      ,  62.949630
 40 ,  24 ,  Cr ,  -33640      ,  63.963890
 39 ,  25 ,  Mn ,  -42989      ,  63.953849
 38 ,  26 ,  Fe ,  -54970      ,  63.940988
 37 ,  27 ,  Co ,  -59792      ,  63.935810
 36 ,  28 ,  Ni ,  -67099.0    ,  63.9279665
 35 ,  29 ,  Cu ,  -65424.4    ,  63.9297645
 34 ,  30 ,  Zn ,  -66004.0    ,  63.9291417
 33 ,  31 ,  Ga ,  -58832.8    ,  63.9368405
 32 ,  32 ,  Ge ,  -54316      ,  63.941690
 40 ,  25 ,  Mn ,  -40967      ,  64.956020
 39 ,  26 ,  Fe ,  -51218      ,  64.945015
 38 ,  27 ,  Co ,  -59185.2    ,  64.9364622
 37 ,  28 ,  Ni ,  -65125.8    ,  64.9300845
 36 ,  29 ,  Cu ,  -67263.7    ,  64.9277897
 35 ,  30 ,  Zn ,  -65912.0    ,  64.9292407
 34 ,  31 ,  Ga ,  -62657.5    ,  64.9327348
 33 ,  32 ,  Ge ,  -56478.2    ,  64.9393683
 32 ,  33 ,  As ,  -46940      ,  64.949610
 41 ,  25 ,  Mn ,  -36750      ,  65.960547
 40 ,  26 ,  Fe ,  -50068      ,  65.946250
 39 ,  27 ,  Co ,  -56409      ,  65.939443
 38 ,  28 ,  Ni ,  -66006.3    ,  65.9291395
 37 ,  29 ,  Cu ,  -66258.3    ,  65.9288687
 36 ,  30 ,  Zn ,  -68899.2    ,  65.9260338
 35 ,  31 ,  Ga ,  -63723.7    ,  65.9315892
 34 ,  32 ,  Ge ,  -61607.0    ,  65.9338626
 33 ,  33 ,  As ,  -52025      ,  65.944149
 41 ,  26 ,  Fe ,  -45708      ,  66.950930
 40 ,  27 ,  Co ,  -55322      ,  66.940610
 39 ,  28 ,  Ni ,  -63742.7    ,  66.931569
 38 ,  29 ,  Cu ,  -67319.6    ,  66.9277290
 37 ,  30 ,  Zn ,  -67880.4    ,  66.9271278
 36 ,  31 ,  Ga ,  -66879.2    ,  66.9282023
 35 ,  32 ,  Ge ,  -62674      ,  66.932717
 34 ,  33 ,  As ,  -56587.2    ,  66.9392515
 33 ,  34 ,  Se ,  -46580      ,  66.949990
 41 ,  27 ,  Co ,  -51643      ,  67.944559
 40 ,  28 ,  Ni ,  -63463.8    ,  67.931869
 39 ,  29 ,  Cu ,  -65567.0    ,  67.9296107
 38 ,  30 ,  Zn ,  -70007.2    ,  67.9248448
 37 ,  31 ,  Ga ,  -67086.1    ,  67.9279805
 36 ,  32 ,  Ge ,  -66978.8    ,  67.9280950
 35 ,  33 ,  As ,  -58894.5    ,  67.9367740
 34 ,  34 ,  Se ,  -54189.4    ,  67.9418255
 42 ,  27 ,  Co ,  -50390      ,  68.945910
 41 ,  28 ,  Ni ,  -59979      ,  68.935610
 40 ,  29 ,  Cu ,  -65736.2    ,  68.9294295
 39 ,  30 ,  Zn ,  -68417.9    ,  68.9265509
 38 ,  31 ,  Ga ,  -69327.8    ,  68.9255733
 37 ,  32 ,  Ge ,  -67100.7    ,  68.9279644
 36 ,  33 ,  As ,  -63110      ,  68.932250
 35 ,  34 ,  Se ,  -56434.7    ,  68.9394146
 34 ,  35 ,  Br ,  -46260      ,  68.950340
 43 ,  27 ,  Co ,  -46525      ,  69.950053
 42 ,  28 ,  Ni ,  -59213.9    ,  69.9364313
 41 ,  29 ,  Cu ,  -62976.4    ,  69.9323922
 40 ,  30 ,  Zn ,  -69564.7    ,  69.9253191
 39 ,  31 ,  Ga ,  -68910.2    ,  69.9260213
 38 ,  32 ,  Ge ,  -70562.0    ,  69.9242489
 37 ,  33 ,  As ,  -64334.0    ,  69.9309345
 36 ,  34 ,  Se ,  -61929.9    ,  69.9335157
 35 ,  35 ,  Br ,  -51426      ,  69.944792
 44 ,  27 ,  Co ,  -44370      ,  70.952370
 43 ,  28 ,  Ni ,  -55406.2    ,  70.9405194
 42 ,  29 ,  Cu ,  -62711.1    ,  70.9326766
 41 ,  30 ,  Zn ,  -67328.8    ,  70.9277198
 40 ,  31 ,  Ga ,  -70139.1    ,  70.9247029
 39 ,  32 ,  Ge ,  -69906.7    ,  70.9249529
 38 ,  33 ,  As ,  -67893      ,  70.927114
 37 ,  34 ,  Se ,  -63146.5    ,  70.932209
 36 ,  35 ,  Br ,  -56502      ,  70.939342
 35 ,  36 ,  Kr ,  -46330      ,  70.950270
 44 ,  28 ,  Ni ,  -54226.1    ,  71.9417854
 43 ,  29 ,  Cu ,  -59783.0    ,  71.9358205
 42 ,  30 ,  Zn ,  -68145.5    ,  71.9268423
 41 ,  31 ,  Ga ,  -68588.3    ,  71.9263679
 40 ,  32 ,  Ge ,  -72585.91   ,  71.92207508
 39 ,  33 ,  As ,  -68230      ,  71.926752
 38 ,  34 ,  Se ,  -67868.2    ,  71.9271401
 37 ,  35 ,  Br ,  -59061.8    ,  71.9365941
 36 ,  36 ,  Kr ,  -53941      ,  71.942092
 45 ,  28 ,  Ni ,  -50108.2    ,  72.9462066
 44 ,  29 ,  Cu ,  -58987.4    ,  72.9366741
 43 ,  30 ,  Zn ,  -65593.4    ,  72.9295820
 42 ,  31 ,  Ga ,  -69699.3    ,  72.9251748
 41 ,  32 ,  Ge ,  -71297.53   ,  72.92345806
 40 ,  33 ,  As ,  -70953      ,  72.923829
 39 ,  34 ,  Se ,  -68227      ,  72.926755
 38 ,  35 ,  Br ,  -63646      ,  72.931673
 37 ,  36 ,  Kr ,  -56552      ,  72.939289
 36 ,  37 ,  Rb ,  -46010      ,  72.950600
 45 ,  29 ,  Cu ,  -56006      ,  73.939875
 44 ,  30 ,  Zn ,  -65756.7    ,  73.9294077
 43 ,  31 ,  Ga ,  -68049.6    ,  73.926946
 42 ,  32 ,  Ge ,  -73422.451  ,  73.921177013
 41 ,  33 ,  As ,  -70860.1    ,  73.9239288
 40 ,  34 ,  Se ,  -72213.210  ,  73.922475016
 39 ,  35 ,  Br ,  -65288      ,  73.929910
 38 ,  36 ,  Kr ,  -62331.8    ,  73.9330842
 37 ,  37 ,  Rb ,  -51916      ,  73.944266
 46 ,  29 ,  Cu ,  -54470.2    ,  74.9415238
 45 ,  30 ,  Zn ,  -62558.9    ,  74.9328401
 44 ,  31 ,  Ga ,  -68460.6    ,  74.9265047
 43 ,  32 ,  Ge ,  -71856.97   ,  74.92285806
 42 ,  33 ,  As ,  -73034.2    ,  74.9215949
 41 ,  34 ,  Se ,  -72169.49   ,  74.92252208
 40 ,  35 ,  Br ,  -69107      ,  74.925811
 39 ,  36 ,  Kr ,  -64324      ,  74.930946
 38 ,  37 ,  Rb ,  -57218.7    ,  74.9385733
 37 ,  38 ,  Sr ,  -46620      ,  74.949950
 47 ,  29 ,  Cu ,  -50981.6    ,  75.9452690
 46 ,  30 ,  Zn ,  -62303.0    ,  75.9331156
 45 ,  31 ,  Ga ,  -66296.6    ,  75.9288271
 44 ,  32 ,  Ge ,  -73212.898  ,  75.921402019
 43 ,  33 ,  As ,  -72291.4    ,  75.9223920
 42 ,  34 ,  Se ,  -75251.959  ,  75.919213017
 41 ,  35 ,  Br ,  -70289      ,  75.924542
 40 ,  36 ,  Kr ,  -69014      ,  75.925911
 39 ,  37 ,  Rb ,  -60479.1    ,  75.9350730
 38 ,  38 ,  Sr ,  -54250      ,  75.941760
 48 ,  29 ,  Cu ,  -48862.8    ,  76.9475433
 47 ,  30 ,  Zn ,  -58789.2    ,  76.9368871
 46 ,  31 ,  Ga ,  -65992.4    ,  76.9291546
 45 ,  32 ,  Ge ,  -71212.87   ,  76.92354906
 44 ,  33 ,  As ,  -73916.3    ,  76.9206478
 43 ,  34 ,  Se ,  -74599.50   ,  76.91991407
 42 ,  35 ,  Br ,  -73234.8    ,  76.921379
 41 ,  36 ,  Kr ,  -70169.5    ,  76.9246701
 40 ,  37 ,  Rb ,  -64830.5    ,  76.9304014
 39 ,  38 ,  Sr ,  -57803      ,  76.937945
 49 ,  29 ,  Cu ,  -44789      ,  77.951917
 48 ,  30 ,  Zn ,  -57483.2    ,  77.9382891
 47 ,  31 ,  Ga ,  -63704.1    ,  77.9316101
 46 ,  32 ,  Ge ,  -71862      ,  77.922853
 45 ,  33 ,  As ,  -72817      ,  77.921828
 44 ,  34 ,  Se ,  -77025.95   ,  77.91730919
 43 ,  35 ,  Br ,  -73452      ,  77.921146
 42 ,  36 ,  Kr ,  -74178.3    ,  77.9203663
 41 ,  37 ,  Rb ,  -66935      ,  77.928142
 40 ,  38 ,  Sr ,  -63174      ,  77.932180
 50 ,  29 ,  Cu ,  -42410      ,  78.954470
 49 ,  30 ,  Zn ,  -53432.3    ,  78.9426384
 48 ,  31 ,  Ga ,  -62548.4    ,  78.9328513
 47 ,  32 ,  Ge ,  -69530      ,  78.925360
 46 ,  33 ,  As ,  -73636      ,  78.920948
 45 ,  34 ,  Se ,  -75917.47   ,  78.91849924
 44 ,  35 ,  Br ,  -76068.1    ,  78.9183371
 43 ,  36 ,  Kr ,  -74442      ,  78.920083
 42 ,  37 ,  Rb ,  -70802.8    ,  78.9239901
 41 ,  38 ,  Sr ,  -65480      ,  78.929705
 40 ,  39 ,  Y  ,  -57800      ,  78.937950
 50 ,  30 ,  Zn ,  -51648.6    ,  79.9445528
 49 ,  31 ,  Ga ,  -59223.7    ,  79.936421
 48 ,  32 ,  Ge ,  -69535.3    ,  79.9253502
 47 ,  33 ,  As ,  -72215      ,  79.922474
 46 ,  34 ,  Se ,  -77759.5    ,  79.9165210
 45 ,  35 ,  Br ,  -75889.0    ,  79.9185291
 44 ,  36 ,  Kr ,  -77893.5    ,  79.9163777
 43 ,  37 ,  Rb ,  -72175.5    ,  79.9225160
 42 ,  38 ,  Sr ,  -70311      ,  79.924518
 41 ,  39 ,  Y  ,  -61148      ,  79.934355
 51 ,  30 ,  Zn ,  -46200      ,  80.950403
 50 ,  31 ,  Ga ,  -57628      ,  80.938134
 49 ,  32 ,  Ge ,  -66291.7    ,  80.9288322
 48 ,  33 ,  As ,  -72533.3    ,  80.9221328
 47 ,  34 ,  Se ,  -76389.0    ,  80.9179930
 46 ,  35 ,  Br ,  -77977.1    ,  80.9162880
 45 ,  36 ,  Kr ,  -77696.2    ,  80.9165892
 44 ,  37 ,  Rb ,  -75457      ,  80.918994
 43 ,  38 ,  Sr ,  -71528      ,  80.923211
 42 ,  39 ,  Y  ,  -65713      ,  80.929454
 41 ,  40 ,  Zr ,  -57520      ,  80.938250
 52 ,  30 ,  Zn ,  -42314      ,  81.954574
 51 ,  31 ,  Ga ,  -52930.7    ,  81.9431766
 50 ,  32 ,  Ge ,  -65415.1    ,  81.9297744
 49 ,  33 ,  As ,  -70105      ,  81.924739
 48 ,  34 ,  Se ,  -77593.9    ,  81.9166995
 47 ,  35 ,  Br ,  -77498.7    ,  81.9168010
 46 ,  36 ,  Kr ,  -80591.795  ,  81.913481006
 45 ,  37 ,  Rb ,  -76188      ,  81.918209
 44 ,  38 ,  Sr ,  -76010      ,  81.918400
 43 ,  39 ,  Y  ,  -68064      ,  81.926930
 42 ,  40 ,  Zr ,  -63614.1    ,  81.9317077
 52 ,  31 ,  Ga ,  -49257.1    ,  82.9471208
 51 ,  32 ,  Ge ,  -60976.4    ,  82.9345396
 50 ,  33 ,  As ,  -69669.3    ,  82.925207
 49 ,  34 ,  Se ,  -75341      ,  82.919119
 48 ,  35 ,  Br ,  -79014      ,  82.915175
 47 ,  36 ,  Kr ,  -79990.643  ,  82.914126010
 46 ,  37 ,  Rb ,  -79070.6    ,  82.9151145
 45 ,  38 ,  Sr ,  -76798      ,  82.917554
 44 ,  39 ,  Y  ,  -72206      ,  82.922484
 43 ,  40 ,  Zr ,  -65912      ,  82.929241
 42 ,  41 ,  Nb ,  -57610      ,  82.938150
 53 ,  31 ,  Ga ,  -44094      ,  83.952660
 52 ,  32 ,  Ge ,  -58148      ,  83.937575
 51 ,  33 ,  As ,  -65854      ,  83.929303
 50 ,  34 ,  Se ,  -75947.7    ,  83.9184661
 49 ,  35 ,  Br ,  -77783      ,  83.916496
 48 ,  36 ,  Kr ,  -82439.345  ,  83.911497004
 47 ,  37 ,  Rb ,  -79759.0    ,  83.9143754
 46 ,  38 ,  Sr ,  -80649.6    ,  83.9134193
 45 ,  39 ,  Y  ,  -73894      ,  83.920671
 44 ,  40 ,  Zr ,  -71422      ,  83.923326
 43 ,  41 ,  Nb ,  -61193.8    ,  83.9343054
 54 ,  31 ,  Ga ,  -39740      ,  84.957330
 53 ,  32 ,  Ge ,  -53123      ,  84.942970
 52 ,  33 ,  As ,  -63189      ,  84.932164
 51 ,  34 ,  Se ,  -72413.6    ,  84.9222608
 50 ,  35 ,  Br ,  -78575      ,  84.915646
 49 ,  36 ,  Kr ,  -81480.3    ,  84.9125271
 48 ,  37 ,  Rb ,  -82167.341  ,  84.911789005
 47 ,  38 ,  Sr ,  -81103.3    ,  84.912932
 46 ,  39 ,  Y  ,  -77842      ,  84.916433
 45 ,  40 ,  Zr ,  -73175      ,  84.921443
 44 ,  41 ,  Nb ,  -66280      ,  84.928846
 43 ,  42 ,  Mo ,  -57510      ,  84.938261
 54 ,  32 ,  Ge ,  -49400      ,  85.946970
 53 ,  33 ,  As ,  -58962      ,  85.936702
 52 ,  34 ,  Se ,  -70503.2    ,  85.9243117
 51 ,  35 ,  Br ,  -75632      ,  85.918805
 50 ,  36 ,  Kr ,  -83265.676  ,  85.910610004
 49 ,  37 ,  Rb ,  -82747.00   ,  85.91116721
 48 ,  38 ,  Sr ,  -84523.100  ,  85.909260006
 47 ,  39 ,  Y  ,  -79283      ,  85.914886
 46 ,  40 ,  Zr ,  -77969      ,  85.916297
 45 ,  41 ,  Nb ,  -69134      ,  85.925782
 44 ,  42 ,  Mo ,  -64110.9    ,  85.931174
 54 ,  33 ,  As ,  -55617.9    ,  86.940292
 53 ,  34 ,  Se ,  -66426.1    ,  86.9286884
 52 ,  35 ,  Br ,  -73892      ,  86.920674
 51 ,  36 ,  Kr ,  -80709.53   ,  86.91335426
 50 ,  37 ,  Rb ,  -84597.802  ,  86.909180006
 49 ,  38 ,  Sr ,  -84880.076  ,  86.908877006
 48 ,  39 ,  Y  ,  -83018.4    ,  86.9108762
 47 ,  40 ,  Zr ,  -79347      ,  86.914817
 46 ,  41 ,  Nb ,  -73874      ,  86.920692
 45 ,  42 ,  Mo ,  -66884.8    ,  86.928196
 44 ,  43 ,  Tc ,  -57690      ,  86.938067
 54 ,  34 ,  Se ,  -63884      ,  87.931417
 53 ,  35 ,  Br ,  -70716      ,  87.924083
 52 ,  36 ,  Kr ,  -79691.3    ,  87.9144478
 51 ,  37 ,  Rb ,  -82609.00   ,  87.91131517
 50 ,  38 ,  Sr ,  -87921.629  ,  87.905612006
 49 ,  39 ,  Y  ,  -84299.0    ,  87.9095016
 48 ,  40 ,  Zr ,  -83629      ,  87.910221
 47 ,  41 ,  Nb ,  -76170      ,  87.918230
 46 ,  42 ,  Mo ,  -72687      ,  87.921968
 45 ,  43 ,  Tc ,  -61670      ,  87.933794
 55 ,  34 ,  Se ,  -58992      ,  88.936669
 54 ,  35 ,  Br ,  -68274      ,  88.926705
 53 ,  36 ,  Kr ,  -76535.8    ,  88.9178353
 52 ,  37 ,  Rb ,  -81712      ,  88.912278
 51 ,  38 ,  Sr ,  -86209.03   ,  88.90745010
 50 ,  39 ,  Y  ,  -87711.2    ,  88.9058384
 49 ,  40 ,  Zr ,  -84878.0    ,  88.9088790
 48 ,  41 ,  Nb ,  -80626      ,  88.913445
 47 ,  42 ,  Mo ,  -75015      ,  88.919468
 46 ,  43 ,  Tc ,  -67395      ,  88.927649
 45 ,  44 ,  Ru ,  -58369      ,  88.937338
 56 ,  34 ,  Se ,  -55800      ,  89.940100
 55 ,  35 ,  Br ,  -64000      ,  89.931293
 54 ,  36 ,  Kr ,  -74959.3    ,  89.9195270
 53 ,  37 ,  Rb ,  -79366      ,  89.914798
 52 ,  38 ,  Sr ,  -85950.9    ,  89.9077276
 51 ,  39 ,  Y  ,  -86496.9    ,  89.9071414
 50 ,  40 ,  Zr ,  -88772.55   ,  89.90469813
 49 ,  41 ,  Nb ,  -82662      ,  89.911259
 48 ,  42 ,  Mo ,  -80173      ,  89.913931
 47 ,  43 ,  Tc ,  -70724.7    ,  89.9240731
 46 ,  44 ,  Ru ,  -64884      ,  89.930344
 57 ,  34 ,  Se ,  -50580      ,  90.945700
 56 ,  35 ,  Br ,  -61107      ,  90.934399
 55 ,  36 ,  Kr ,  -70974.0    ,  90.9238064
 54 ,  37 ,  Rb ,  -77745      ,  90.916537
 53 ,  38 ,  Sr ,  -83652      ,  90.910196
 52 ,  39 ,  Y  ,  -86351.3    ,  90.9072980
 51 ,  40 ,  Zr ,  -87895.59   ,  90.90564010
 50 ,  41 ,  Nb ,  -86638.0    ,  90.906990
 49 ,  42 ,  Mo ,  -82209      ,  90.911745
 48 ,  43 ,  Tc ,  -75986.7    ,  90.9184255
 47 ,  44 ,  Ru ,  -68239.8    ,  90.9267414
 57 ,  35 ,  Br ,  -56233      ,  91.939632
 56 ,  36 ,  Kr ,  -68769.3    ,  91.9261739
 55 ,  37 ,  Rb ,  -74772      ,  91.919728
 54 ,  38 ,  Sr ,  -82867      ,  91.911038
 53 ,  39 ,  Y  ,  -84816      ,  91.908946
 52 ,  40 ,  Zr ,  -88459.02   ,  91.90503510
 51 ,  41 ,  Nb ,  -86453.3    ,  91.9071889
 50 ,  42 ,  Mo ,  -86808.59   ,  91.90680717
 49 ,  43 ,  Tc ,  -78926      ,  91.915270
 48 ,  44 ,  Ru ,  -74301.2    ,  91.9202349
 47 ,  45 ,  Rh ,  -62999      ,  91.932368
 46 ,  46 ,  Pd ,  -54780      ,  91.941190
 58 ,  35 ,  Br ,  -52890      ,  92.943220
 57 ,  36 ,  Kr ,  -64136.0    ,  92.9311477
 56 ,  37 ,  Rb ,  -72620      ,  92.922039
 55 ,  38 ,  Sr ,  -80086      ,  92.914024
 54 ,  39 ,  Y  ,  -84227      ,  92.909578
 53 ,  40 ,  Zr ,  -87122.0    ,  92.9064705
 52 ,  41 ,  Nb ,  -87212.8    ,  92.9063736
 51 ,  42 ,  Mo ,  -86807.08   ,  92.90680819
 50 ,  43 ,  Tc ,  -83606.1    ,  92.9102451
 49 ,  44 ,  Ru ,  -77216.7    ,  92.9171042
 48 ,  45 ,  Rh ,  -69011.8    ,  92.9259128
 47 ,  46 ,  Pd ,  -58980      ,  92.936680
 58 ,  36 ,  Kr ,  -61348      ,  93.934140
 57 ,  37 ,  Rb ,  -68562.8    ,  93.9263942
 56 ,  38 ,  Sr ,  -78845.7    ,  93.9153558
 55 ,  39 ,  Y  ,  -82351      ,  93.911592
 54 ,  40 ,  Zr ,  -87269.33   ,  93.90631218
 53 ,  41 ,  Nb ,  -86369.1    ,  93.9072796
 52 ,  42 ,  Mo ,  -88414.08   ,  93.90508315
 51 ,  43 ,  Tc ,  -84158      ,  93.909652
 50 ,  44 ,  Ru ,  -82584      ,  93.911343
 49 ,  45 ,  Rh ,  -72908      ,  93.921730
 48 ,  46 ,  Pd ,  -66102      ,  93.929036
 59 ,  36 ,  Kr ,  -56159      ,  94.939711
 58 ,  37 ,  Rb ,  -65890      ,  94.929264
 57 ,  38 ,  Sr ,  -75117      ,  94.919358
 56 ,  39 ,  Y  ,  -81208      ,  94.912820
 55 ,  40 ,  Zr ,  -85659.9    ,  94.9080409
 54 ,  41 ,  Nb ,  -86786.3    ,  94.9068315
 53 ,  42 ,  Mo ,  -87711.87   ,  94.90583713
 52 ,  43 ,  Tc ,  -86021      ,  94.907652
 51 ,  44 ,  Ru ,  -83458      ,  94.910404
 50 ,  45 ,  Rh ,  -78341      ,  94.915898
 49 ,  46 ,  Pd ,  -69966      ,  94.924889
 60 ,  36 ,  Kr ,  -53082      ,  95.943014
 59 ,  37 ,  Rb ,  -61354      ,  95.934133
 58 ,  38 ,  Sr ,  -72918      ,  95.921719
 57 ,  39 ,  Y  ,  -78330      ,  95.915909
 56 ,  40 ,  Zr ,  -85438.86   ,  95.90827712
 55 ,  41 ,  Nb ,  -85602.83   ,  95.90810116
 54 ,  42 ,  Mo ,  -88794.89   ,  95.90467413
 53 ,  43 ,  Tc ,  -85822      ,  95.907867
 52 ,  44 ,  Ru ,  -86080.39   ,  95.90758818
 51 ,  45 ,  Rh ,  -79688      ,  95.914452
 50 ,  46 ,  Pd ,  -76183      ,  95.918214
 49 ,  47 ,  Ag ,  -64510      ,  95.930740
 61 ,  36 ,  Kr ,  -47420      ,  96.949090
 60 ,  37 ,  Rb ,  -58519.1    ,  96.9371771
 59 ,  38 ,  Sr ,  -68581      ,  96.926376
 58 ,  39 ,  Y  ,  -76115      ,  96.918287
 57 ,  40 ,  Zr ,  -82936.69   ,  96.91096313
 56 ,  41 ,  Nb ,  -85603      ,  96.908102
 55 ,  42 ,  Mo ,  -87544.70   ,  96.90601618
 54 ,  43 ,  Tc ,  -87224      ,  96.906361
 53 ,  44 ,  Ru ,  -86120.6    ,  96.9075450
 52 ,  45 ,  Rh ,  -82600      ,  96.911330
 51 ,  46 ,  Pd ,  -77806      ,  96.916472
 50 ,  47 ,  Ag ,  -70904      ,  96.923881
 49 ,  48 ,  Cd ,  -60730      ,  96.934800
 61 ,  37 ,  Rb ,  -54369      ,  97.941632
 60 ,  38 ,  Sr ,  -66422      ,  97.928693
 59 ,  39 ,  Y  ,  -72289      ,  97.922395
 58 ,  40 ,  Zr ,  -81282      ,  97.912740
 57 ,  41 ,  Nb ,  -83525      ,  97.910333
 56 ,  42 ,  Mo ,  -88115.98   ,  97.90540319
 55 ,  43 ,  Tc ,  -86432      ,  97.907211
 54 ,  44 ,  Ru ,  -88225      ,  97.905287
 53 ,  45 ,  Rh ,  -83175      ,  97.910708
 52 ,  46 ,  Pd ,  -81321      ,  97.912698
 51 ,  47 ,  Ag ,  -73070      ,  97.921560
 50 ,  48 ,  Cd ,  -67640      ,  97.927390
 62 ,  37 ,  Rb ,  -51121      ,  98.945119
 61 ,  38 ,  Sr ,  -62519      ,  98.932884
 60 ,  39 ,  Y  ,  -70644      ,  98.924161
 59 ,  40 ,  Zr ,  -77617      ,  98.916675
 58 ,  41 ,  Nb ,  -82335      ,  98.911609
 57 ,  42 ,  Mo ,  -85970.11   ,  98.90770725
 56 ,  43 ,  Tc ,  -87327.9    ,  98.9062490
 55 ,  44 ,  Ru ,  -87625.4    ,  98.9059304
 54 ,  45 ,  Rh ,  -85585      ,  98.908121
 53 ,  46 ,  Pd ,  -82183      ,  98.911773
 52 ,  47 ,  Ag ,  -76712      ,  98.917646
 51 ,  48 ,  Cd ,  -69931.1    ,  98.9249257
 63 ,  37 ,  Rb ,  -46266      ,  99.950332
 62 ,  38 ,  Sr ,  -59818      ,  99.935783
 61 ,  39 ,  Y  ,  -67321      ,  99.927728
 60 ,  40 ,  Zr ,  -76373      ,  99.918010
 59 ,  41 ,  Nb ,  -79791      ,  99.914341
 58 ,  42 ,  Mo ,  -86193.0    ,  99.9074683
 57 ,  43 ,  Tc ,  -86021.0    ,  99.9076525
 56 ,  44 ,  Ru ,  -89227.4    ,  99.9042104
 55 ,  45 ,  Rh ,  -85591      ,  99.908114
 54 ,  46 ,  Pd ,  -85213      ,  99.908520
 53 ,  47 ,  Ag ,  -78138      ,  99.916115
 52 ,  48 ,  Cd ,  -74194.6    ,  99.9203488
 51 ,  49 ,  In ,  -64178.1    ,  99.9311014
 50 ,  50 ,  Sn ,  -57150      ,  99.938650
 64 ,  37 ,  Rb ,  -42567      , 100.954302
 63 ,  38 ,  Sr ,  -55325      , 100.940606
 62 ,  39 ,  Y  ,  -65055      , 100.930161
 61 ,  40 ,  Zr ,  -73161      , 100.921458
 60 ,  41 ,  Nb ,  -78891      , 100.915307
 59 ,  42 ,  Mo ,  -83520.0    , 100.9103373
 58 ,  43 ,  Tc ,  -86345      , 100.907305
 57 ,  44 ,  Ru ,  -87958.1    , 100.9055734
 56 ,  45 ,  Rh ,  -87412      , 100.906159
 55 ,  46 ,  Pd ,  -85432      , 100.908285
 54 ,  47 ,  Ag ,  -81334      , 100.912684
 53 ,  48 ,  Cd ,  -75836.5    , 100.9185866
 52 ,  49 ,  In ,  -68545      , 100.926414
 51 ,  50 ,  Sn ,  -60310      , 100.935260
 65 ,  37 ,  Rb ,  -37250      , 101.960010
 64 ,  38 ,  Sr ,  -52160      , 101.944000
 63 ,  39 ,  Y  ,  -61173      , 101.934328
 62 ,  40 ,  Zr ,  -71581      , 101.923154
 61 ,  41 ,  Nb ,  -76298.3    , 101.9180907
 60 ,  42 ,  Mo ,  -83561      , 101.910294
 59 ,  43 ,  Tc ,  -84573      , 101.909207
 58 ,  44 ,  Ru ,  -89106.4    , 101.9043404
 57 ,  45 ,  Rh ,  -86783      , 101.906834
 56 ,  46 ,  Pd ,  -87903.0    , 101.9056324
 55 ,  47 ,  Ag ,  -82247      , 101.911705
 54 ,  48 ,  Cd ,  -79659.7    , 101.9144818
 53 ,  49 ,  In ,  -70695      , 101.924106
 52 ,  50 ,  Sn ,  -64930      , 101.930290
 64 ,  39 ,  Y  ,  -58457      , 102.937244
 63 ,  40 ,  Zr ,  -67809      , 102.927204
 62 ,  41 ,  Nb ,  -75029      , 102.919453
 61 ,  42 ,  Mo ,  -80954      , 102.913092
 60 ,  43 ,  Tc ,  -84604      , 102.909174
 59 ,  44 ,  Ru ,  -87267.2    , 102.9063145
 58 ,  45 ,  Rh ,  -88031.7    , 102.9054945
 57 ,  46 ,  Pd ,  -87457.0    , 102.9061119
 56 ,  47 ,  Ag ,  -84803      , 102.908961
 55 ,  48 ,  Cd ,  -80651.6    , 102.9134169
 54 ,  49 ,  In ,  -74632      , 102.919879
 64 ,  40 ,  Zr ,  -65718      , 103.929449
 63 ,  41 ,  Nb ,  -71811.0    , 103.9229079
 62 ,  42 ,  Mo ,  -80344      , 103.913747
 61 ,  43 ,  Tc ,  -82499      , 103.911434
 60 ,  44 ,  Ru ,  -88095.8    , 103.9054257
 59 ,  45 ,  Rh ,  -86959.3    , 103.9066455
 58 ,  46 ,  Pd ,  -89395.1    , 103.9040304
 57 ,  47 ,  Ag ,  -85116      , 103.908624
 56 ,  48 ,  Cd ,  -83968.4    , 103.9098568
 55 ,  49 ,  In ,  -76183      , 103.918215
 54 ,  50 ,  Sn ,  -71627      , 103.923105
 52 ,  52 ,  Te ,  -49630      , 103.946720
 65 ,  40 ,  Zr ,  -61458      , 104.934022
 64 ,  41 ,  Nb ,  -69916      , 104.924943
 63 ,  42 ,  Mo ,  -77331      , 104.916982
 62 ,  43 ,  Tc ,  -82290      , 104.911660
 61 ,  44 ,  Ru ,  -85934.5    , 104.9077457
 60 ,  45 ,  Rh ,  -87851.3    , 104.9056877
 59 ,  46 ,  Pd ,  -88417.9    , 104.9050792
 58 ,  47 ,  Ag ,  -87071      , 104.906526
 57 ,  48 ,  Cd ,  -84333.8    , 104.9094635
 56 ,  49 ,  In ,  -79641      , 104.914502
 55 ,  50 ,  Sn ,  -73338      , 104.921268
 54 ,  51 ,  Sb ,  -64015      , 104.931277
 53 ,  52 ,  Te ,  -52810      , 104.943300
 65 ,  41 ,  Nb ,  -66202.7    , 105.9289285
 64 ,  42 ,  Mo ,  -76128      , 105.918273
 63 ,  43 ,  Tc ,  -79776      , 105.914357
 62 ,  44 ,  Ru ,  -86323      , 105.907328
 61 ,  45 ,  Rh ,  -86363      , 105.907286
 60 ,  46 ,  Pd ,  -89907.5    , 105.9034802
 59 ,  47 ,  Ag ,  -86942      , 105.906663
