  N ,   Z ,  El , Mass_Excess  ,     Atomic Mass
 15 ,   7 ,  N  ,   31760      ,  22.034100
 14 ,   8 ,  O  ,    9280      ,  22.009970
 13 ,   9 ,  F  ,    2793      ,  22.002999
 12 ,  10 ,  Ne ,   -8024.716  ,  21.991385019
 11 ,  11 ,  Na ,   -5181.39   ,  21.99443714
 10 ,  12 ,  Mg ,    -399.99   ,  21.99957017
 16 ,   7 ,  N  ,   36720      ,  23.039420
 15 ,   8 ,  O  ,   14620      ,  23.015700
 14 ,   9 ,  F  ,    3290      ,  23.003530
 13 ,  10 ,  Ne ,   -5154.05   ,  22.99446611
 12 ,  11 ,  Na ,   -9529.8535 ,  22.9897690019
 11 ,  12 ,  Mg ,   -5473.67   ,  22.99412303
 10 ,  13 ,  Al ,    6748.1    ,  23.0072444
 16 ,   8 ,  O  ,   18500      ,  24.019860
 15 ,   9 ,  F  ,    7540      ,  24.008100
 14 ,  10 ,  Ne ,   -5951.6    ,  23.9936106
 13 ,  11 ,  Na ,   -8417.901  ,  23.990963018
 12 ,  12 ,  Mg ,  -13933.578  ,  23.985041014
 11 ,  13 ,  Al ,     -48.81   ,  23.99994724
 10 ,  14 ,  Si ,   10745      ,  24.011535
 17 ,   8 ,  O  ,   27330      ,  25.029340
 16 ,   9 ,  F  ,   11330      ,  25.012170
 15 ,  10 ,  Ne ,   -2036      ,  24.997810
 14 ,  11 ,  Na ,   -9357.8    ,  24.9899543
 13 ,  12 ,  Mg ,  -13192.78   ,  24.98583605
 12 ,  13 ,  Al ,   -8915.97   ,  24.99042807
 11 ,  14 ,  Si ,    3827      ,  25.004109
 18 ,   8 ,  O  ,   34660      ,  26.037210
 17 ,   9 ,  F  ,   18670      ,  26.020050
 16 ,  10 ,  Ne ,     481      ,  26.000516
 15 ,  11 ,  Na ,   -6861      ,  25.992635
 14 ,  12 ,  Mg ,  -16214.544  ,  25.98259203
 13 ,  13 ,  Al ,  -12210.14   ,  25.98689107
 12 ,  14 ,  Si ,   -7141.00   ,  25.99233312
 18 ,   9 ,  F  ,   25130      ,  27.026980
 17 ,  10 ,  Ne ,    7050      ,  27.007570
 16 ,  11 ,  Na ,   -5518      ,  26.994076
 15 ,  12 ,  Mg ,  -14586.59   ,  26.98434005
 14 ,  13 ,  Al ,  -17196.86   ,  26.98153805
 13 ,  14 ,  Si ,  -12384.51   ,  26.98670412
 12 ,  15 ,  P  ,    -659      ,  26.999292
 19 ,   9 ,  F  ,   33400      ,  28.035860
 18 ,  10 ,  Ne ,   11300      ,  28.012130
 17 ,  11 ,  Na ,    -988      ,  27.998939
 16 ,  12 ,  Mg ,  -15019.95   ,  27.98387528
 15 ,  13 ,  Al ,  -16850.72   ,  27.98191005
 14 ,  14 ,  Si ,  -21492.7971 ,  27.9769260006
 13 ,  15 ,  P  ,   -7147.9    ,  27.9923262
 12 ,  16 ,  S  ,    4070      ,  28.004370
 20 ,   9 ,  F  ,   40150      ,  29.043100
 19 ,  10 ,  Ne ,   18400      ,  29.019750
 18 ,  11 ,  Na ,    2680      ,  29.002877
 17 ,  12 ,  Mg ,  -10612.4    ,  28.9886074
 16 ,  13 ,  Al ,  -18207.8    ,  28.9804534
 15 ,  14 ,  Si ,  -21895.0815 ,  28.9764940006
 14 ,  15 ,  P  ,  -16952.8    ,  28.9818004
 13 ,  16 ,  S  ,   -3094      ,  28.996678
 20 ,  10 ,  Ne ,   23280      ,  30.024990
 19 ,  11 ,  Na ,    8475      ,  30.009098
 18 ,  12 ,  Mg ,   -8881.4    ,  29.9904654
 17 ,  13 ,  Al ,  -15864.1    ,  29.9829691
 16 ,  14 ,  Si ,  -24432.962  ,  29.973770023
 15 ,  15 ,  P  ,  -20200.86   ,  29.97831307
 14 ,  16 ,  S  ,  -14059.25   ,  29.98490622
 13 ,  17 ,  Cl ,    4675      ,  30.005018
 21 ,  10 ,  Ne ,   31180      ,  31.033470
 20 ,  11 ,  Na ,   12246      ,  31.013147
 19 ,  12 ,  Mg ,   -3122      ,  30.996648
 18 ,  13 ,  Al ,  -14950.7    ,  30.9839494
 17 ,  14 ,  Si ,  -22949.04   ,  30.97536305
 16 ,  15 ,  P  ,  -24440.5444 ,  30.9737610008
 15 ,  16 ,  S  ,  -19042.53   ,  30.97955725
 14 ,  17 ,  Cl ,   -7035      ,  30.992448
 21 ,  11 ,  Na ,   18640      ,  32.020010
 20 ,  12 ,  Mg ,    -829      ,  31.999110
 19 ,  13 ,  Al ,  -11099      ,  31.988084
 18 ,  14 ,  Si ,  -24077.69   ,  31.9741513
 17 ,  15 ,  P  ,  -24304.88   ,  31.97390704
 16 ,  16 ,  S  ,  -26015.5371 ,  31.9720710014
 15 ,  17 ,  Cl ,  -13334.7    ,  31.9856846
 14 ,  18 ,  Ar ,   -2200.4    ,  31.9976379
 22 ,  11 ,  Na ,   23780      ,  33.025530
 21 ,  12 ,  Mg ,    4962.9    ,  33.0053279
 20 ,  13 ,  Al ,   -8497      ,  32.990878
 19 ,  14 ,  Si ,  -20514.3    ,  32.9779778
 18 ,  15 ,  P  ,  -26337.4    ,  32.9717252
 17 ,  16 ,  S  ,  -26585.8583 ,  32.9714580014
 16 ,  17 ,  Cl ,  -21003.3    ,  32.9774524
 15 ,  18 ,  Ar ,   -9384.3    ,  32.9899254
 23 ,  11 ,  Na ,   31680      ,  34.034010
 22 ,  12 ,  Mg ,    8323      ,  34.008935
 21 ,  13 ,  Al ,   -2997.6    ,  33.9967813
 20 ,  14 ,  Si ,  -19991.7    ,  33.9785389
 19 ,  15 ,  P  ,  -24548.7    ,  33.9736459
 18 ,  16 ,  S  ,  -29931.69   ,  33.96786705
 17 ,  17 ,  Cl ,  -24440.09   ,  33.97376205
 16 ,  18 ,  Ar ,  -18378.29   ,  33.98027008
 23 ,  12 ,  Mg ,   15640      ,  35.016790
 22 ,  13 ,  Al ,    -224      ,  34.999760
 21 ,  14 ,  Si ,  -14390      ,  34.984550
 20 ,  15 ,  P  ,  -24857.8    ,  34.9733140
 19 ,  16 ,  S  ,  -28846.21   ,  34.96903204
 18 ,  17 ,  Cl ,  -29013.53   ,  34.96885204
 17 ,  18 ,  Ar ,  -23047.3    ,  34.9752577
 16 ,  19 ,  K  ,  -11172.9    ,  34.9880056
 24 ,  12 ,  Mg ,   20380      ,  36.021880
 23 ,  13 ,  Al ,    5950      ,  36.006390
 22 ,  14 ,  Si ,  -12440      ,  35.986650
 21 ,  15 ,  P  ,  -20251      ,  35.978260
 20 ,  16 ,  S  ,  -30664.14   ,  35.96708020
 19 ,  17 ,  Cl ,  -29522.01   ,  35.96830604
 18 ,  18 ,  Ar ,  -30231.542  ,  35.967545029
 17 ,  19 ,  K  ,  -17417.2    ,  35.9813013
 16 ,  20 ,  Ca ,   -6450      ,  35.993070
 25 ,  12 ,  Mg ,   28210      ,  37.030290
 24 ,  13 ,  Al ,    9810      ,  37.010530
 23 ,  14 ,  Si ,   -6570      ,  36.992950
 22 ,  15 ,  P  ,  -19000      ,  36.979610
 21 ,  16 ,  S  ,  -26896.43   ,  36.97112521
 20 ,  17 ,  Cl ,  -31761.55   ,  36.96590206
 19 ,  18 ,  Ar ,  -30947.68   ,  36.96677622
 18 ,  19 ,  K  ,  -24800.20   ,  36.97337510
 17 ,  20 ,  Ca ,  -13136.1    ,  36.9858977
 24 ,  14 ,  Si ,   -4170      ,  37.995520
 23 ,  15 ,  P  ,  -14620      ,  37.984300
 22 ,  16 ,  S  ,  -26861      ,  37.971163
 21 ,  17 ,  Cl ,  -29798.12   ,  37.96801011
 20 ,  18 ,  Ar ,  -34714.83   ,  37.96273221
 19 ,  19 ,  K  ,  -28800.76   ,  37.96908121
 18 ,  20 ,  Ca ,  -22058.50   ,  37.97631921
 25 ,  14 ,  Si ,    2320      ,  39.002490
 24 ,  15 ,  P  ,  -12770      ,  38.986290
 23 ,  16 ,  S  ,  -23160      ,  38.975130
 22 ,  17 ,  Cl ,  -29800.2    ,  38.9680089
 21 ,  18 ,  Ar ,  -33242      ,  38.964313
 20 ,  19 ,  K  ,  -33807.195  ,  38.963706005
 19 ,  20 ,  Ca ,  -27282.7    ,  38.9707106
 18 ,  21 ,  Sc ,  -14173      ,  38.984785
 26 ,  14 ,  Si ,    5670      ,  40.006080
 25 ,  15 ,  P  ,   -8140      ,  39.991260
 24 ,  16 ,  S  ,  -22838      ,  39.975483
 23 ,  17 ,  Cl ,  -27560      ,  39.970420
 22 ,  18 ,  Ar ,  -35039.9000 ,  39.9623830023
 21 ,  19 ,  K  ,  -33535.50   ,  39.96399806
 20 ,  20 ,  Ca ,  -34846.402  ,  39.962590022
 19 ,  21 ,  Sc ,  -20523.4    ,  39.977967
 18 ,  22 ,  Ti ,   -8990      ,  39.990350
 26 ,  15 ,  P  ,   -4980      ,  40.994650
 25 ,  16 ,  S  ,  -19009      ,  40.979593
 24 ,  17 ,  Cl ,  -27310      ,  40.970680
 23 ,  18 ,  Ar ,  -33067.5    ,  40.9645004
 22 ,  19 ,  K  ,  -35559.549  ,  40.961825004
 21 ,  20 ,  Ca ,  -35137.91   ,  40.96227715
 20 ,  21 ,  Sc ,  -28642.36   ,  40.96925108
 19 ,  22 ,  Ti ,  -15698      ,  40.983150
 27 ,  15 ,  P  ,    1090      ,  42.001170
 26 ,  16 ,  S  ,  -17637.7    ,  41.981065
 25 ,  17 ,  Cl ,  -24830      ,  41.973340
 24 ,  18 ,  Ar ,  -34423      ,  41.963046
 23 ,  19 ,  K  ,  -35022.03   ,  41.96240211
 22 ,  20 ,  Ca ,  -38547.29   ,  41.95861716
 21 ,  21 ,  Sc ,  -32121.00   ,  41.96551617
 20 ,  22 ,  Ti ,  -25104.35   ,  41.97304929
 27 ,  16 ,  S  ,  -12195      ,  42.986908
 26 ,  17 ,  Cl ,  -24160      ,  42.974060
 25 ,  18 ,  Ar ,  -32010      ,  42.965636
 24 ,  19 ,  K  ,  -36575.4    ,  42.9607344
 23 ,  20 ,  Ca ,  -38408.87   ,  42.95876624
 22 ,  21 ,  Sc ,  -36188.1    ,  42.9611500
 21 ,  22 ,  Ti ,  -29316      ,  42.968528
 20 ,  23 ,  V  ,  -17920      ,  42.980770
 28 ,  16 ,  S  ,   -9204      ,  43.990119
 27 ,  17 ,  Cl ,  -20480      ,  43.978010
 26 ,  18 ,  Ar ,  -32673.3    ,  43.9649237
 25 ,  19 ,  K  ,  -35781.5    ,  43.9615875
 24 ,  20 ,  Ca ,  -41468.7    ,  43.9554813
 23 ,  21 ,  Sc ,  -37816.0    ,  43.9594029
 22 ,  22 ,  Ti ,  -37548.6    ,  43.9596898
 21 ,  23 ,  V  ,  -23808      ,  43.974441
 20 ,  24 ,  Cr ,  -13420      ,  43.985590
 28 ,  17 ,  Cl ,  -18260      ,  44.980390
 27 ,  18 ,  Ar ,  -29770.8    ,  44.9680396
 26 ,  19 ,  K  ,  -36615.6    ,  44.9606916
 25 ,  20 ,  Ca ,  -40812.2    ,  44.9561864
 24 ,  21 ,  Sc ,  -41072.3    ,  44.9559077
 23 ,  22 ,  Ti ,  -39010.3    ,  44.9581209
 22 ,  23 ,  V  ,  -31886.4    ,  44.9657689
 21 ,  24 ,  Cr ,  -19510      ,  44.979050
 29 ,  17 ,  Cl ,  -13730      ,  45.985250
 28 ,  18 ,  Ar ,  -29771.3    ,  45.9680395
 27 ,  19 ,  K  ,  -35413.9    ,  45.9619818
 26 ,  20 ,  Ca ,  -43139.6    ,  45.9536874
 25 ,  21 ,  Sc ,  -41761.6    ,  45.9551677
 24 ,  22 ,  Ti ,  -44128.27   ,  45.95262610
 23 ,  23 ,  V  ,  -37075.90   ,  45.96019714
 22 ,  24 ,  Cr ,  -29472      ,  45.968361
 21 ,  25 ,  Mn ,  -12420      ,  45.986670
 29 ,  18 ,  Ar ,  -25367.3    ,  46.9727673
 28 ,  19 ,  K  ,  -35712.0    ,  46.9616615
 27 ,  20 ,  Ca ,  -42344.7    ,  46.9545414
 26 ,  21 ,  Sc ,  -44336.8    ,  46.9524021
 25 ,  22 ,  Ti ,  -44937.61   ,  46.95175709
 24 ,  23 ,  V  ,  -42007.07   ,  46.95490312
 23 ,  24 ,  Cr ,  -34563      ,  46.962895
 22 ,  25 ,  Mn ,  -22570      ,  46.975770
 30 ,  18 ,  Ar ,  -22355      ,  47.976001
 29 ,  19 ,  K  ,  -32284.5    ,  47.9653418
 28 ,  20 ,  Ca ,  -44224.868  ,  47.952522019
 27 ,  21 ,  Sc ,  -44504      ,  47.952223
 26 ,  22 ,  Ti ,  -48492.95   ,  47.94794008
 25 ,  23 ,  V  ,  -44478.0    ,  47.9522500
 24 ,  24 ,  Cr ,  -42821      ,  47.954029
 23 ,  25 ,  Mn ,  -29297      ,  47.968549
 22 ,  26 ,  Fe ,  -18010      ,  47.980670
 30 ,  19 ,  K  ,  -29611.5    ,  48.9682109
 29 ,  20 ,  Ca ,  -41300.00   ,  48.95566219
 28 ,  21 ,  Sc ,  -46562.4    ,  48.9500134
 27 ,  22 ,  Ti ,  -48564.01   ,  48.94786408
 26 ,  23 ,  V  ,  -47962.2    ,  48.9485109
 25 ,  24 ,  Cr ,  -45332.4    ,  48.9513334
 24 ,  25 ,  Mn ,  -37619.9    ,  48.9596134
 23 ,  26 ,  Fe ,  -24751      ,  48.973429
 31 ,  19 ,  K  ,  -25728      ,  49.972380
 30 ,  20 ,  Ca ,  -39589.2    ,  49.9574997
 29 ,  21 ,  Sc ,  -44537.1    ,  49.9521877
 28 ,  22 ,  Ti ,  -51431.87   ,  49.94478509
 27 ,  23 ,  V  ,  -49223.24   ,  49.94715610
 26 ,  24 ,  Cr ,  -50261.36   ,  49.94604210
 25 ,  25 ,  Mn ,  -42626.89   ,  49.95423812
 24 ,  26 ,  Fe ,  -34476      ,  49.962988
 23 ,  27 ,  Co ,  -17590      ,  49.981120
 32 ,  19 ,  K  ,  -22515      ,  50.975829
 31 ,  20 ,  Ca ,  -36332.3    ,  50.9609956
 30 ,  21 ,  Sc ,  -43250.4    ,  50.9535687
 29 ,  22 ,  Ti ,  -49733.0    ,  50.9466095
 28 ,  23 ,  V  ,  -52203.11   ,  50.94395710
 27 ,  24 ,  Cr ,  -51450.71   ,  50.94476518
 26 ,  25 ,  Mn ,  -48243.2    ,  50.9482083
 25 ,  26 ,  Fe ,  -40189.2    ,  50.9568555
 24 ,  27 ,  Co ,  -27340      ,  50.970650
 33 ,  19 ,  K  ,  -17140      ,  51.981600
 32 ,  20 ,  Ca ,  -34266.3    ,  51.9632137
 31 ,  21 ,  Sc ,  -40524      ,  51.956496
 30 ,  22 ,  Ti ,  -49477.7    ,  51.9468839
 29 ,  23 ,  V  ,  -51443.03   ,  51.94477317
 28 ,  24 ,  Cr ,  -55419.51   ,  51.94050412
 27 ,  25 ,  Mn ,  -50711.39   ,  51.94555914
 26 ,  26 ,  Fe ,  -48332.10   ,  51.94811319
 25 ,  27 ,  Co ,  -34344      ,  51.963130
 24 ,  28 ,  Ni ,  -22560      ,  51.975780
 34 ,  19 ,  K  ,  -12300      ,  52.986800
 33 ,  20 ,  Ca ,  -29390      ,  52.968450
 32 ,  21 ,  Sc ,  -38770      ,  52.958379
 31 ,  22 ,  Ti ,  -46881.4    ,  52.949671
 30 ,  23 ,  V  ,  -51852      ,  52.944335
 29 ,  24 ,  Cr ,  -55287.62   ,  52.94064612
 28 ,  25 ,  Mn ,  -54690.3    ,  52.9412874
 27 ,  26 ,  Fe ,  -50947.5    ,  52.9453058
 26 ,  27 ,  Co ,  -42659.4    ,  52.9542039
 25 ,  28 ,  Ni ,  -29631      ,  52.968190
 34 ,  20 ,  Ca ,  -25160      ,  53.972990
 33 ,  21 ,  Sc ,  -34438      ,  53.963029
 32 ,  22 ,  Ti ,  -45744      ,  53.950892
 31 ,  23 ,  V  ,  -49898      ,  53.946432
 30 ,  24 ,  Cr ,  -56935.38   ,  53.93887714
 29 ,  25 ,  Mn ,  -55558.2    ,  53.9403551
 28 ,  26 ,  Fe ,  -56254.6    ,  53.9396084
 27 ,  27 ,  Co ,  -48010.1    ,  53.9484594
 26 ,  28 ,  Ni ,  -39278      ,  53.957833
 35 ,  20 ,  Ca ,  -18650      ,  54.979980
 34 ,  21 ,  Sc ,  -30840      ,  54.966890
 33 ,  22 ,  Ti ,  -41832      ,  54.955090
 32 ,  23 ,  V  ,  -49125      ,  54.947262
 31 ,  24 ,  Cr ,  -55110.32   ,  54.94083625
 30 ,  25 ,  Mn ,  -57712.54   ,  54.93804328
 29 ,  26 ,  Fe ,  -57481.4    ,  54.9382913
 28 ,  27 ,  Co ,  -54030.0    ,  54.9419964
 27 ,  28 ,  Ni ,  -45336.0    ,  54.9513298
 26 ,  29 ,  Cu ,  -31640      ,  54.966040
 36 ,  20 ,  Ca ,  -13510      ,  55.985500
 35 ,  21 ,  Sc ,  -25520      ,  55.972610
 34 ,  22 ,  Ti ,  -39420      ,  55.957680
 33 ,  23 ,  V  ,  -46180      ,  55.950420
 32 ,  24 ,  Cr ,  -55285.1    ,  55.9406496
 31 ,  25 ,  Mn ,  -56911.67   ,  55.9389023
 30 ,  26 ,  Fe ,  -60607.16   ,  55.93493529
 29 ,  27 ,  Co ,  -56040.5    ,  55.9398385
 28 ,  28 ,  Ni ,  -53907.6    ,  55.9421274
 27 ,  29 ,  Cu ,  -38630      ,  55.958529
 36 ,  21 ,  Sc ,  -21380      ,  56.977050
 35 ,  22 ,  Ti ,  -34400      ,  56.963070
 34 ,  23 ,  V  ,  -44440      ,  56.952300
 33 ,  24 ,  Cr ,  -52525.0    ,  56.9436120
 32 ,  25 ,  Mn ,  -57486.3    ,  56.9382856
 31 ,  26 ,  Fe ,  -60182.02   ,  56.93539129
 30 ,  27 ,  Co ,  -59345.7    ,  56.9362896
